topic,topicDescription,category
Java is better than Python,description,Science
Colombian Football is better than Ecuadorian Football,description,Sports
Do aliens exist?,"Do you think there is life in other planets? If so, do you think they have made contact with humanity?",Science
Does the horoscope predict anything?,Do you think astrology does describe personality types and is indicative of a persons behavior?,Other
Do you think Crypto is a good investment?,Do you think it is a good idea to buy cryptocurrencies? Do you think their advantages outweigh their environmental cost?,Economics
Trains vs Airplanes?,Is there a valid justification travel by plane instead of train when a train route is available?,Other
Is Universal Basic Income (UBI) a good idea?,Do you think countries should implement UBI when possible?,Economics
Should markets of human attention (i.e: Facebook or Google Ads) be strongly regulated or outlawed?,,Other
Should we change to a 32-hour workweek?,"Many countries are now debating if a full-time job should be of (4-days) instead of 5 days (or more), which do you think makes more sense?",Other
Is it unethical not to be vegan?,"Should all people, specially those that love animals, be vegan",Other
There are no good rock bands anymore…,description,Art
Should we ban facial recognition technology?,description,Science
Should the FIFA make the World Cup every four or two years?,description,Sports
Is the UN useful?,description,Politics
Should countries have open borders? Should they deport people?,description,Politics
Should we pursue and research cleaner versions of nuclear energy?,description,Science
Is the premier league the best soccer league in the world?,description,Sports
FCZ vs FCB?,description,Sports
FCZ vs YB?,description,Sports
Should kids be allowed to use screen devices?,description,Other
Is football the best sport?,description,Sports
Should we censor curse words in Radio Stations or TV?,description,Other
